Source,Target,Weight
0,3847,1
0,4516,1
0,7409,1
0,12328,1
1,4251,1
1,7414,1
1,7993,1
1,9875,1
2,281,1
2,2160,1
2,2852,1
2,2939,1
2,3544,1
2,5308,1
2,12706,1
2,13690,1
3,13018,1
4,8012,1
5,835,1
5,4732,1
5,7326,1
5,9304,1
5,13476,1
5,14045,1
6,24,1
6,2013,1
6,5784,1
7,3782,1
8,1118,1
8,1420,2
8,7195,1
8,12999,1
8,14385,2
9,12982,2
10,1658,1
10,1965,1
10,2828,1
10,5501,1
10,5984,1
10,6638,1
10,7189,1
10,7680,1
10,8469,1
10,8607,1
10,10517,2
10,12813,1
10,14468,1
11,9661,1
12,982,1
12,1091,1
12,1115,1
12,1350,1
12,1369,1
12,1663,1
12,3421,1
12,3440,1
12,5321,1
12,5463,1
12,8532,1
12,9471,1
12,10181,1
12,10209,1
12,10501,1
12,12680,1
12,12796,1
12,15302,1
13,536,1
13,715,1
13,768,1
13,2751,1
13,2945,1
13,7417,2
13,9085,1
13,13318,1
14,4277,1
14,8103,1
15,726,1
15,6708,1
15,8812,1
15,10952,1
16,1736,1
16,2344,1
16,3212,1
16,3937,1
16,4315,1
16,4950,1
16,5328,1
16,6228,1
16,7957,1
16,9346,1
16,10136,1
16,10251,1
16,10798,1
16,10842,1
16,12169,1
16,12475,1
17,896,1
17,5728,1
17,6549,1
17,10804,1
17,13504,1
17,14622,1
18,1655,1
18,5744,1
18,7190,1
18,11752,1
19,4130,1
19,6315,1
19,8237,1
19,9584,1
19,11330,1
19,11466,1
19,11631,1
19,11900,1
20,5184,1
20,8535,1
20,12613,1
21,13666,1
21,14128,1
22,2923,1
23,446,1
23,2088,2
23,2834,1
23,2848,1
23,4058,1
23,4480,2
23,4793,2
23,4838,1
23,5639,1
23,5664,4
23,6096,1
23,7171,1
23,8734,1
23,8934,1
23,9019,1
23,9738,1
23,10904,1
23,12860,2
24,2013,1
25,3224,1
26,9554,1
26,10997,1
27,725,1
27,1888,1
28,2920,1
28,3291,1
28,10768,1
28,13973,1
28,14472,1
29,3991,1
29,9424,1
29,14351,1
30,2396,1
30,8873,1
30,9095,1
30,9652,1
31,1964,1
31,8666,1
31,10246,1
32,1048,1
32,1542,1
32,2475,1
32,6040,1
32,6784,1
32,7099,1
32,9026,1
32,9145,1
32,9358,1
34,14689,1
35,1901,1
35,3819,1
36,4157,1
36,7489,1
36,12312,1
36,14743,1
37,1947,2
38,623,1
38,9856,1
38,13965,1
39,961,1
39,3681,1
40,8573,1
40,8739,1
40,10982,1
41,2785,1
42,2450,1
42,7542,1
42,8136,1
42,13762,1
43,5761,1
43,8060,1
43,9096,1
43,10899,1
43,13518,1
44,1442,1
44,4750,1
44,5346,1
44,7407,1
44,13245,1
45,4725,1
45,7831,1
45,10402,1
45,11358,1
45,15065,1
46,5461,1
46,6659,2
46,8174,1
46,10519,2
46,10894,1
46,14113,1
46,14128,1
46,14227,2
46,15305,1
47,12559,1
47,14614,1
48,128,1
48,1741,1
48,11674,1
49,640,1
50,5008,1
50,6916,1
51,59,1
51,435,1
51,1075,1
51,1563,1
51,1712,1
51,2236,1
51,3085,1
51,3646,1
51,5263,1
51,6980,1
51,8632,1
51,8833,1
51,8986,1
51,9003,1
51,9687,1
51,10130,1
51,10215,1
51,10947,1
51,13617,1
51,13629,1
51,14118,1
51,14302,1
52,2709,1
52,2965,1
52,5158,1
52,5535,1
52,6654,1
52,7112,1
52,8306,1
52,9071,1
52,9339,1
52,9444,1
52,10990,1
52,13949,1
53,3503,1
53,3944,1
53,4095,1
53,5926,1
53,9047,1
53,9368,1
53,10338,1
53,11113,1
53,13140,1
53,14938,1
54,693,2
54,3862,2
54,9039,1
55,2807,1
55,4983,1
55,11848,1
55,13935,1
56,1906,1
56,4991,1
56,11689,1
56,15001,1
57,6297,1
57,14839,1
58,5884,1
58,8051,1
58,15070,1
59,435,1
59,1075,1
59,1563,1
59,1712,1
59,2236,1
59,3085,1
59,3646,1
59,5263,1
59,6980,1
59,8632,1
59,8833,1
59,8986,1
59,9003,1
59,9687,1
59,10130,1
59,10215,1
59,10947,1
59,13617,1
59,13629,1
59,14118,1
59,14302,1
60,4782,2
60,6338,1
60,12791,2
60,13506,2
61,513,3
61,892,1
61,2442,1
61,4973,1
61,7090,2
61,9277,3
61,9826,3
61,12237,1
61,13846,1
61,14078,3
62,2500,1
62,14766,1
63,4728,1
64,6836,1
64,10540,1
64,11282,1
64,13143,1
65,1822,1
65,2803,1
66,14132,2
67,975,1
67,2512,2
67,4447,1
67,7257,1
67,8253,2
67,12622,1
67,15021,1
68,6088,1
68,11382,1
68,12494,1
69,4434,1
69,12640,1
70,162,1
70,2164,2
70,10043,2
70,11077,1
70,11633,2
70,12770,2
71,4428,1
71,14878,1
71,15015,1
72,13179,1
72,15255,1
73,1204,1
73,11704,1
74,175,2
74,1140,4
74,3357,1
74,6369,4
75,1620,1
75,4585,1
76,2910,2
76,3966,1
76,7674,1
76,8633,1
76,9398,2
76,11699,1
76,11764,1
76,12018,1
76,13699,1
76,14454,1
76,14644,1
76,15300,2
77,9439,1
77,12584,1
78,675,1
78,700,1
78,912,1
78,7786,1
78,8349,1
79,2958,1
79,5515,1
79,12838,1
80,7680,1
80,12783,1
80,13202,1
81,8276,1
81,8858,1
81,10060,1
81,10645,1
81,10652,1
81,11937,1
81,13311,1
81,14016,1
82,4355,1
82,7911,1
82,7918,1
83,8107,1
83,10040,1
83,11328,1
84,1588,1
84,1691,1
84,5580,1
85,2384,1
85,2681,1
85,4948,1
85,5921,1
85,6035,1
85,7279,1
85,7922,1
86,2334,1
86,5930,1
86,7581,1
87,1015,1
87,1171,1
87,3407,1
88,3392,1
88,3557,1
88,4543,1
88,7341,1
89,209,1
89,7430,1
89,12057,1
90,5785,1
90,8964,1
92,4952,1
92,5389,1
92,7403,1
93,362,1
93,686,1
93,1057,1
94,3081,1
94,4615,1
94,10080,1
94,15205,1
95,1878,2
95,11353,1
96,3152,1
96,9701,1
96,10644,1
97,6373,1
97,6825,1
97,8913,1
98,6951,1
98,7870,1
98,9344,1
98,12654,1
98,12828,1
99,380,1
99,954,1
99,3424,1
99,4998,1
99,5076,1
99,8066,1
99,8205,1
99,10531,1
99,10858,1
99,11480,1
99,11544,1
99,12398,1
99,15004,1
100,1257,1
100,3386,1
100,5982,1
100,7420,1
100,8927,1
100,9565,1
100,10983,1
100,11820,2
100,12157,1
101,6683,1
102,1568,1
102,3092,1
102,7764,1
102,11340,1
103,434,1
103,1238,4
103,6592,1
103,7091,1
103,7875,4
103,9554,5
103,11643,1
103,13373,1
104,1698,1
104,3487,1
105,243,3
105,1908,1
105,5945,1
105,9806,1
105,12974,2
105,13968,2
106,2104,1
106,13828,1
107,4057,1
107,5504,1
107,11273,1
108,1607,2
108,7362,2
108,14106,2
109,4295,1
109,10084,2
109,12937,1
109,13213,1
110,707,1
110,5416,1
110,12974,1
111,2847,1
111,9300,1
111,10863,1
111,13191,1
111,14054,1
112,2124,1
112,9041,1
112,10929,1
112,11383,1
114,6750,1
114,10560,1
114,11401,1
115,1654,1
115,6938,1
116,3740,1
116,4852,2
117,6108,1
117,8154,1
118,778,1
118,980,1
118,2206,1
118,5469,1
118,6994,1
118,13201,1
118,14156,1
118,14241,1
119,666,3
119,10252,2
119,13817,1
120,197,1
120,7371,1
120,9394,1
120,13099,1
121,871,1
121,7591,1
121,8799,1
121,9579,1
121,10536,1
121,11607,1
121,13505,1
122,6586,1
122,9845,1
122,12686,1
123,1311,1
123,1697,1
123,2873,1
123,11138,1
123,11968,3
123,14791,1
124,6593,1
125,4104,1
125,4719,2
125,9433,2
125,14968,1
125,14970,1
125,15093,1
126,484,1
126,1953,1
126,3079,1
126,7057,1
126,8181,1
126,8383,1
126,8732,1
126,13417,1
127,2856,1
127,8688,1
127,8973,1
127,9494,1
127,15278,1
128,1741,1
128,11674,1
129,13979,1
129,15032,1
130,2100,1
130,2750,1
130,8999,1
131,2902,1
132,14202,1
133,356,1
133,9949,1
133,11454,1
133,11895,1
134,2155,1
134,8866,1
134,10265,1
135,2646,1
135,6542,1
136,716,1
136,8067,1
136,12293,1
137,5759,1
137,14709,1
138,335,1
138,7193,1
138,7462,1
138,7536,1
138,9763,1
138,12932,1
138,14547,1
139,15011,1
140,1113,1
140,3866,1
140,4528,1
140,5171,1
140,5505,1
140,8824,1
140,8974,1
140,10063,1
140,10672,1
140,12889,1
141,4336,1
141,4527,1
141,5336,1
141,6038,1
142,7350,1
143,3603,1
143,4796,1
143,5017,1
143,5882,1
143,7100,1
143,7433,1
143,7897,1
143,10031,1
143,10095,1
143,12516,1
143,13564,1
143,14020,1
143,15064,1
144,11200,1
144,12411,1
145,5753,1
145,6777,1
145,13115,1
146,1186,1
146,4657,1
146,10509,1
146,10735,1
147,6722,2
147,8929,2
147,12112,2
148,7616,1
148,10640,1
149,14984,1
150,987,1
150,2128,1
150,3519,1
150,11749,1
150,12430,1
151,608,1
151,2192,1
151,8325,1
151,14845,1
152,7726,2
152,8847,1
152,13696,2
152,13869,2
153,5999,1
153,10692,1
153,14435,1
154,718,1
154,1239,1
154,1275,1
154,2023,1
154,2347,1
154,2669,1
